card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Flipkart SBI Credit Card,SBI Card,Best SBI,,"[""Best Cashback Credit Cards in India"", ""Best Credit Cards for Beginners"", ""Best SBI"", ""Best SBI Credit Cards""]",₹500 + GST,₹500 + GST,Annual Charges are Reversed on Spends of ₹3.5 Lakh,,Cashback,Cashback is Credited Against Statement,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","This is a co-branded offering between SBI Card and Flipkart. This card is most suitable for those who often shop with Flipkart and Myntra and even use Cleartrip for their travel bookings. Available at a reasonable joining fee of ₹500 + GST, this card is quite affordable and offers cashback on several partners. Cardholders can even earn 4% cashback on Netmeds, PVR, Uber, and Zomato.","[""This card comes at an affordable joining and renewal charge of ₹500 + GST."", ""The welcome benefits offered with this card are quite attractive."", ""This card is great for those looking for straightforward cashback.""]","[""Airport lounge access is not provided with this card."", ""This card doesn’t offer any renewal benefits."", ""The Flipkart SBI Credit Card is only available on the Mastercard and Visa networks, meaning this card cannot be used for UPI payments since it is not available on the RuPay network.""]",,cardinsider.com,https://cardinsider.com/sbi-card/flipkart-sbi-credit-card/
IndiGo SBI Credit Card,SBI Card,Best SBI,,"[""20+ Best Travel Credit Cards"", ""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards for IndiGo BluChips"", ""Best SBI"", ""Best SBI Credit Cards""]","₹1,499 + GST (~₹1,768)","₹1,499 + GST (~₹1,768)",N/A,,Air Miles,BluChips Can Be Redeemed for Flight Bookings With IndiGo,,"Not only does this card offer regular rewards, but it also comes with milestone benefits. This is a great perk, as anyone booking IndiGo flights even a few times a year is likely to have high spends, and these rewards add extra value. Here’s a look at all the milestone rewards offered with this card.","{""domestic"": ""One Free Visit Each Quarter on Making Spends of ₹50,000 or More in the Previous Quarter"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","The IndiGo SBI Credit Card is an affordable credit card available at a joining and annual charge of ₹1,499 + GST. This credit card is most suited for those who often fly with the popular Indian airline IndiGo. Complimentary airport lounge access is offered with this card to ease the travel experience.","[""2,500 IndiGo BluChips are offered as a renewal benefit with this card. This is an extreme advantage for all those who wish to keep this card, as they will get their fees worth from the second year as well, instead of the usual first year.""]","[""Although airport lounge access would have been a pro for this card, it’s offered on a spend-based basis. Cardholders must spend ₹50,000 in the previous quarter to access this benefit, which doesn’t truly make it complimentary.""]",,cardinsider.com,https://cardinsider.com/sbi-card/indigo-sbi-credit-card/
IndiGo SBI ELITE Credit Card,SBI Card,Best SBI,"Mastercard, RuPay","[""20+ Best Travel Credit Cards"", ""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards for IndiGo BluChips"", ""Best SBI"", ""Best SBI Credit Cards""]","₹4,999 + GST","₹4,999 + GST",N/A,,Air Miles,BluChips Can Be Redeemed for Flight Bookings With IndiGo,,"Those who have a high spending habit should opt for this card, as it allows them to earn several milestone rewards. Up to 24,000 BluChips can be earned on spends of ₹12 Lakh.","{""domestic"": ""Two Free Visits Each Quarter on Making Spends of ₹100,000 or More in the Previous Quarter"", ""international"": ""6 Free Visits Each Year (Maximum 2 Per Quarter)""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","The IndiGo SBI ELITE Credit Card is a premium airline co-branded card available at a joining charge of ₹4,999. Cardholders can enjoy complimentary domestic and international lounge access with this card.","[""The IndiGo SBI ELITE Credit Card provides access to both domestic and international airport lounges.""]","[""There is no fixed value of the BluChips earned with this card. One would need to calculate their redemption value while booking flights with IndiGo.""]",,cardinsider.com,https://cardinsider.com/sbi-card/indigo-sbi-elite-credit-card/
IRCTC SBI RuPay Credit Card,SBI Card,Best SBI,RuPay,"[""Best Credit Card For Complimentary Railway Lounge Access"", ""Best SBI"", ""Best SBI Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,N/A,,Reward Points,RPs Are Credited to IRCTC Loyalty Account,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","For the issuance of the IRCTC SBI Rupay credit card, there are some basic eligibility criteria- One should be at least 18 years or above. Regular source of Income, whether the person is salaried or self-employed. One should have a decent credit score or credit history (Preferably above 700).",3.75% Per Month (45% Per Annum),3.50%,"1% fuel surcharge waiver across all petrol pumps in India for all transactions between Rs. 500 to Rs. 3,000. You can get a maximum waiver of Rs. 100 in a statement cycle. | 2.5% or Rs. 500 (whichever is higher) | Rs. 99","Get 1 Reward Point for every Rs. 125 spent on retail purchases, including railway tickets booked at the IRCTC Website or IRCTC mobile app. Get 350 bonus reward points on a transaction of over Rs. 500 within 45 days after the card set-up date as a welcome gift. On buying AC1, AC2, AC3, and AC CC tickets through IRCTC, you get up to 10% value back as reward points. Get 4 complimentary railway lounge access every year. You can save the 1% transaction charges on your railway ticket booking through IRCTC.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/irctc-rupay-sbi-credit-card/
IRCTC SBI Card Premier,SBI Card,Best SBI,,"[""Best Credit Card For Complimentary Railway Lounge Access"", ""Best SBI"", ""Best SBI Credit Cards""]","Rs. 1,499 + GST","Rs. 1,499 + GST",Renewal fee waiver on spends of Rs. 2 lakh,,Reward Points,1 Reward Point = Re. 1.,,"You get 2,500 bonus Reward Points on achieving a total travel spends of Rs. 50,000 in the previous year. 5,000 bonus reward points are credited to your account if you achieve spending of Rs. 1 Lakh in an anniversary year.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.5% per month,3.5% on all international transactions,"1% fuel surcharge waiver | 2.5% of the cash advance or Rs. 500, the higher of the two. | Rs. 99","Up to 3 RP for every Rs. 125 spent. Earn 1 Reward Point per 125 spent on other non-fuel retail purchases Get a welcome bonus of 1,500 Reward Points. Up to 5,000 bonus Reward Points on hitting the milestone spend mark. Complimentary access to railway lounges. Up to 10,000 miles every night on hotel stays. Spend-based renewal fee waiver. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/irctc-sbi-card-premier/
KrisFlyer SBI Card Apex,SBI Card,Best SBI,"Mastercard, American Express","[""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards to Earn KrisFlyer Miles"", ""Best SBI"", ""Best SBI Credit Cards""]","₹9,999 + GST","₹9,999 + GST",N/A,,KrisFlyer Miles,Rewards are Earned as KrisFlyer Miles,"Get 10,000 KrisFlyer Miles upon realization of joining fees and making the first transaction within the first 60 days of card issuance.","With this premium credit card, users shall get additional rewards for achieving the stipulated spends.","{""domestic"": ""2 Visits Each Quarter (8 Annually)"", ""international"": ""8 Airport Visits Abroad""}",,3.75% Per Month (45% Per Annum),3.50%,"1% Fuel Surcharge Waiver on Transactions Upto ₹3,000 | 2.5% or ₹500 Whichever is Higher | ₹99 + GST","This card comes at a fee of ₹9,999 + GST. It is most suited for those who often fly with Singapore Airlines. 3.5% Forex markup shall be charged on all international spends. Complimentary domestic and international airport lounge access is offered with this card. Primary cardholders shall also be offered Priority Pass for the first two years of card membership.","[""With this card, cardholders receive a generous number of domestic and international lounge visits. Additionally, primary cardholders are offered Priority Pass membership."", ""The milestone benefits offered with this card are quite attractive. Not only can one earn additional KrisFlyer Miles upto 13,000 Miles, but on spending ₹7.5 lakh, one will also get a a tier upgrade to KrisFlyer Elite Gold membership.""]","[""This card comes with a fee of ₹9,999, which is quite high compared to other cards. It doesn’t offer holistic rewards such as dining and entertainment benefits."", ""The Forex charge for this card is 3.5%, which should have been lower for such a premium card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/krisflyer-sbi-card-apex/
KrisFlyer SBI Credit Card,SBI Card,Best SBI,"Mastercard, American Express","[""20+ Best Travel Credit Cards"", ""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards to Earn KrisFlyer Miles"", ""Best SBI"", ""Best SBI Credit Cards""]","₹2,999 + GST","₹2,999 + GST",N/A,,KrisFlyer Miles,Rewards are Earned as KrisFlyer Miles,,,"{""domestic"": ""1 Visits Each Quarter (4 Annually)"", ""international"": ""4 Airport Visits Abroad""}",,3.75% Per Month (45% Per Annum),3.50%,"1% Fuel Surcharge Waiver on Transactions Upto ₹3,000 | 2.5% or ₹500 Whichever is Higher | ₹99 + GST","The KrisFlyer SBI Credit Card has a joining and annual charge of ₹2,999 + GST. It is ideal for those who often fly with the popular Singapore Airlines",[],"["""", """"]",,cardinsider.com,https://cardinsider.com/sbi-card/krisflyer-sbi-credit-card/
Landmark Rewards SBI Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",₹499 + GST,₹499 + GST,N/A,,Reward Points,"4 Reward Points = ₹1. Redeem Points at Lifestyle, Home Centre, SPAR, Max, Baby Shop, and EasyBuy",,"Cardholders can earn 8,000 bonus Reward Points with an annual retail spend of ₹2 lakh. These 8,000 bonus points are valued at ₹2,000, offering an additional 1% reward.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹3,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","The Landmark Rewards SBI Credit Card is most suited for shopping at Landmark stores and brands. This card comes with an annual and joining charge of ₹499 + GST. Cardholders receive 2,000 bonus Reward Points worth ₹500 when paying the annual fee, as a renewal benefit. Those with high spends can earn 8,000 bonus Reward Points on annual spends of ₹2 lakh or more.","[""This card comes packed with attractive welcome, reward, and milestone benefits, all while maintaining an affordable fee structure.""]","[""Reward points must generally be redeemed at Landmark Group stores or converted to a statement credit (1 RP = ₹0.25). This is a major drawback for those expecting flexible redemption options, such as Amazon vouchers.""]",,cardinsider.com,https://cardinsider.com/sbi-card/landmark-rewards-sbi-credit-card/
Landmark Rewards SBI PRIME Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]","₹2,999 + GST","₹2,999 + GST",N/A,,Reward Points,"4 Reward Points = ₹1. Redeem Points at Lifestyle, Home Centre, SPAR, Max, Baby Shop, and EasyBuy",,"Cardholders with higher annual spending can also benefit from the milestone rewards offered on this card. You can earn 20,000 bonus Reward Points by spending ₹5 lakh or more in a year.","{""domestic"": ""8 Free Visits Each Year (Maximum 2 Per Quarter)"", ""international"": ""4 Free Visits Each Year (Maximum 2 Per Quarter)""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","This credit card is most suited for shopping. The Landmark Rewards SBI PRIME Card comes at an annual charge of ₹2,999 + GST. Cardholders shall get 12,000 bonus Reward Points worth ₹3,000 as a welcome benefit. This card comes with domestic and international airport lounge access.","[""Cardholders shall be eligible for an annual benefit of 12,000 Reward Points on payment of renewal charges. This is quite useful, as the benefit actually offsets the annual charge.""]","[""This card is best suited for those who often shop at Landmark-associated brands such as Lifestyle, Home Centre, Spar, Max, Baby Shop, and EasyBuy stores. Those who do not shop at these brands cannot take full advantage of this card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/landmark-rewards-sbi-prime-credit-card/
Landmark Rewards SBI SELECT Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]","₹1,499 + GST","₹1,499 + GST",N/A,,Reward Points,"4 Reward Points = ₹1. Redeem Points at Lifestyle, Home Centre, SPAR, Max, Baby Shop, and EasyBuy",,"Earn 12,000 Bonus Reward Points on achieving an overall annual retail spend of ₹3 lakh.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","This is a shopping credit card most suited for spending at Landmark Stores like Lifestyle, Home Centre, Spar, Max, Baby Shop, and EasyBuy. It comes at a joining and annual charge of ₹1,499 + GST. Cardholder shall be eligible for 6,000 Reward Points on payment of renewal charges. Cardholders can also earn 12,000 bonus Reward Points on making annual spends of ₹3 lakh or more.","[""Those who often shop at Lifestyle, Home Centre, Spar, Max, Baby Shop, and EasyBuy stores can save big with this card.""]","[""There are no airport lounge benefits associated with this card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/landmark-rewards-sbi-select-credit-card/
