card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
AU Altura Credit Card,AU Small Finance Bank,AU,,"[""Utilities"", ""Groceries""]",₹199 + GST,₹199 + GST,"Waived on annual spends of ₹40,000",Up to 2% cashback on Groceries/Utilities/Departmental Stores,,Cashback is automatically credited to your account.,"₹50 cashback monthly for milestone spends of ₹10,000","₹50 cashback monthly for milestone spends of ₹10,000",2 complimentary railway lounge visits per quarter,"{""age"": ""21–60 years"", ""income"": ""2 Lakh/annum"", ""location"": ""India"", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹100 per statement cycle)",Get 2x reward points for every Rs.100 you spend on online transactions.,"[""Affordable annual fee with easy waiver conditions."", ""Complimentary railway lounge access (ideal for domestic travelers).""]","[""Limited cashback cap (₹50/month)."", ""High forex markup fee (3.49%)""]",3.6,rewardpoints.club,https://rewardpoints.club/library
AU Altura+ Credit Card,AU Small Finance Bank,AU,,"[""Online Shopping""]",₹499 + GST,₹499 + GST,"Waived on annual spends of ₹80,000",2 reward points on online spends and 1.5% cashback on POS retail transactions,,"Redeem points via the AU Rewardz portal for vouchers, apparel, flight tickets, hotel bookings, etc.
Redemption rate: 1 reward point = ₹0.25.",Vouchers worth ₹500 for milestone spends within 60 days,Vouchers worth ₹500 for milestone spends within 60 days,2 complimentary railway lounge visits per quarter,"{""age"": ""21–60 years"", ""income"": """", ""location"": ""India"", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹150 per statement cycle)",,"[""Affordable annual fee with easy waiver conditions."", ""High rewards rate for online transactions (2X points)."", ""Complimentary railway lounge access at major stations.""]","[""Limited cashback cap (₹100/month)."", ""No airport lounge access or international travel benefits.""]",3.9,rewardpoints.club,https://rewardpoints.club/library
AU LIT Credit Card,AU Small Finance Bank,AU,,"[""Groceries""]",₹0 (Lifetime Free),₹0 (Lifetime Free),,Up to 10X reward points on online spends,,"Redeem reward points for vouchers, travel bookings, and subscriptions.


Redemption rate: 1 reward point = ₹0.25.",,,Up to 4 complimentary airport lounge visits per quarter,"{""age"": ""21–60 years"", ""income"": ""criteria not mentioned"", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹100 per statement cycle)",,"[""Lifetime free card with no annual fees."", """", """", ""Customizable benefits tailored to spending habits."", """", ""High rewards rate (up to 10X points) and cashback options.""]","[""Requires active customization every 90 days via the app."", """", """", ""Forex markup fee is slightly higher at 3.49%""]",3.9,rewardpoints.club,https://rewardpoints.club/library
AU Nomo Secured Credit Card,AU Small Finance Bank,AU,,"[""Secured Credit Card (FD)"", ""Travel""]",₹199 + GST (one-time),₹199 + GST (no renewal fee after the first year),,,,"Redeem points for vouchers, travel bookings, or cashback.


Redemption rate: 1 Reward Point = ₹0.25.",500 Reward Points on first transaction within 30 days of joining,500 Reward Points on first transaction within 30 days of joining,2 complimentary domestic lounge visits per quarter,"{""age"": ""18 to 75 years"", ""income"": """", ""location"": ""India"", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,1%,"1% waiver on transactions ₹400-₹5,000 (Max ₹100 per statement cycle)",India’s first numberless secured credit card with low 0.99% forex markup and credit-building rewards,"[""Affordable entry into credit with a low joining fee and no annual fee after the first year."", """", """", ""Earning interest on the fixed deposit while enjoying credit card benefits."", """", """", ""Good rewards structure for everyday spending.""]","[""Requires a fixed deposit which ties up funds until closure of the card."", """", """", ""Limited premium benefits compared to unsecured cards.""]",3.6,rewardpoints.club,https://rewardpoints.club/library
AU Xcite Ultra Credit Card,AU Small Finance Bank,AU,,"[""Travel""]",₹0 (Lifetime Free),₹0 (Lifetime Free),,Up to 12 Reward Points per ₹100 spent on international transactions; 8 Reward Points per ₹100 on online spends; 4 Reward Points per ₹100 on offline spends,,"Redeem Reward Points via the AU Rewardz portal at a rate of 1 Reward Point = ₹0.25.
Redemption options include gift vouchers, travel bookings, and more.",,,2 complimentary domestic airport lounge visits per quarter; 8 complimentary railway lounge visits annually,"{""age"": ""18 to 70 years"", ""income"": """", ""location"": ""India"", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹200 per statement cycle)",Lifetime free card - Get upto 12X reward points on international spends,"[""High reward rate on international transactions with up to 12 Reward Points per ₹100 spent."", ""Lifetime free with no annual fees, making it cost-effective."", ""Complimentary lounge access enhances travel comfort.""]","[""Limited rewards outside specific categories like international and online transactions."", ""No specific welcome bonus mentioned.""]",3.7,rewardpoints.club,https://rewardpoints.club/library
AU Xcite Credit Card,AU Small Finance Bank,AU,,"[""Food & Entertainment""]",₹0 (Lifetime Free),₹0 (Lifetime Free),,Up to 15 Reward Points per ₹100 spent on select categories,,"Dining, Movies, Groceries, Departmental Stores: 15 Reward Points per ₹100 spent, Unlimited
Retail Purchases: 2 Reward Points per ₹100 spent, Unlimited
Special Bonus Days (1st–5th of Month): 2X Reward Points on all retail spends, Unlimited","500 Reward Points on spending ₹5,000 within the first 5 days of the month","500 Reward Points on spending ₹5,000 within the first 5 days of the month",2 complimentary railway lounge visits per quarter (8 per year),"{""age"": ""21 to 65 years"", ""income"": ""proof required for SwipeUp platform applications"", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹200 per statement cycle)","Earn 15X reward points on dining, movies, groceries, and departmental stores, 2X points on retail spends from the 1st to 5th of each month","[""Lifetime free card with no annual fees or hidden charges."", """", """", ""High reward rates (up to 15 points per ₹100) across popular spending categories like dining and groceries."", """", """", ""Complimentary railway lounge access enhances travel comfort.""]","[""Limited travel benefits; no airport lounge access or international perks."", """", """", ""Forex markup fee is relatively high at 3.49%.""]",3.7,rewardpoints.club,https://rewardpoints.club/library
AU Xcite Ace Credit Card,AU Small Finance Bank,AU,,"[""Food & Entertainment"", ""Groceries""]",₹0 (Lifetime Free),₹0 (Lifetime Free),,"Up to 3% cashback on monthly spends of ₹20,000 or more; 2% on spends of ₹12,500 or more; 1% on spends of ₹7,500 or more",,Cashback is directly credited to your credit card statement—no manual redemption is required.,,,Enjoy 2 complimentary domestic airport lounge visits per quarter; 2 complimentary railway lounge visits per quarter,"{""age"": ""18 to 70 years"", ""income"": """", ""location"": ""India"", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹200 per statement cycle)","Earn up to 3% cashback on monthly spends of ₹20,000+ ","[""Lifetime Free with no joining or annual fees."", ""High cashback rates up to 3% on monthly spends of ₹20,000 or more."", ""Complimentary lounge access for both airport and railway lounges.""]","[""Limited rewards on transactions like rent payments and fuel purchases."", ""No international lounge access benefits.""]",3.7,rewardpoints.club,https://rewardpoints.club/library
AU Zenith+ Credit Card,AU Small Finance Bank,AU,,"[""Travel"", ""Food & Entertainment"", ""Premium""]","₹4,999 + GST","₹4,999 + GST","No waiver available; renewal benefit of 5,000 reward points annually","2 Reward Points per ₹100 spent on dining, international, and travel spends; 1 Reward Point per ₹100 spent on other categories",,"Redeem points for vouchers, travel bookings, or lifestyle products via AU Rewardz portal.


Redemption rate: 1 Reward Point = ₹1.","Luxury vouchers worth ₹5,000 (Taj Hotels, Tata Cliq, Michael Kors) or 5,000 Reward Points","Luxury vouchers worth ₹5,000 (Taj Hotels, Tata Cliq, Michael Kors) or 5,000 Reward Points",16 complimentary domestic and international lounge visits per year,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": 3000000, ""self_employed_annual_income_threshold"": 3000000, ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹1000 per statement cycle)",Complimentary Lounge accesses annually and enjoy Taj Epicure membership with ₹12L annual spend,"[""Premium privileges like airport VIP check-ins and concierge services enhance travel experiences."", """", """", ""Low forex markup fee (0.99%) makes it ideal for frequent international travelers."", """", """", ""Generous lounge access (16 visits annually) covers both domestic and international lounges."", """", """", ""High reward redemption value (1 Reward Point = ₹1) ensures maximum savings.""]","[""No annual fee waiver option; only renewal benefits are provided."", """", """", ""Requires high spending thresholds to unlock premium perks like Taj Epicure Membership.""]",4.1,rewardpoints.club,https://rewardpoints.club/library
AU Business Cashback Credit Card,AU Small Finance Bank,AU,,"[""Food & Entertainment""]",₹0,"₹1,188 (₹99/month)","Waived on spending ₹10,000 in a statement cycle","1% cashback on total dues repayment, capped at ₹1,000 per statement cycle",,"Cashback is credited automatically to the cardholder’s account upon repayment.


Reward Points can also be redeemed for vouchers or discounts through AU Bank's rewards portal.",,,8 complimentary railway lounge visits per year (max 2 per quarter),"{""age"": ""21 to 60 years"", ""income"": """", ""location"": ""India"", ""employment"": [""Business"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹200 per statement cycle)",Earn 1% cashback on total dues repayment and railway lounge visits annually,"[""Affordable monthly fee with the potential for waiving it through spending."", """", """", ""Simple cashback structure that rewards timely repayments."", """", """", ""Complimentary railway lounge access enhances travel convenience for business owners.""]","[""Monthly fee may accumulate if spending does not meet the threshold."", """", """", ""Limited rewards compared to other premium business credit cards.""]",3.9,rewardpoints.club,https://rewardpoints.club/library
AU Zenith Credit Card,AU Small Finance Bank,AU,,"[""Travel"", ""Food & Entertainment"", ""Groceries""]","₹7,999 + GST (first-year fee waived on spending)","₹7,999 + GST",Waived on annual spends of ₹5 lakh from the second year onwards; waived for the first year on spending ₹1.25 lakh within 90 days of card setup,Up to 20 Reward Points per ₹100 spent on retail transactions,,"Redeem points for vouchers, travel bookings, or lifestyle products via AU Rewardz portal.


Redemption rate: 1 Reward Point = ₹0.25.","Vouchers worth ₹1,000 on the first transaction","Vouchers worth ₹1,000 on the first transaction",Up to 16 complimentary domestic and international lounge visits per year,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": """", ""self_employed_annual_income_threshold"": """", ""business_annual_income_threshold"": """"}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹1000 per statement cycle)",Complimentary lounge visits per quarter and Taj Epicure membership with ₹8L annual spend.,"[""High reward earning potential with up to 20 points per ₹100 spent makes it ideal for regular spenders."", """", """", ""Extensive lounge access enhances travel experiences significantly."", """", """", ""Valuable welcome bonus and birthday rewards add extra benefits.""]","[""High annual fee may not be justified for low spenders."", """", """", ""Forex markup fee is higher than some competitors.""]",3.9,rewardpoints.club,https://rewardpoints.club/library
