card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Axis Bank Pride Signature Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards""]",Nil,Rs. 500 + GST,"The renewal fee is waived off on exceeding spends of Rs. 40,000 or more in the preceding year",,Reward Points,EDGE REWARD Points can be redeemed at the EDGE REWARDS Portal. 1 EDGE REWARD Point = Rs. 0.20.,,,"{""domestic"": ""In every calendar quarter, you will get 2 complimentary domestic lounge access."", ""international"": ""N/A""}",The primary cardholder must be an Indian Defence personnel. The age of the primary cardholder must be between 18 and 70 years. Add-on cardholder(s) must be above 18 years of age.,3.75% Per Month (55.55% Annually),3.5% of the forex transactions.,"1% fuel surcharge is waived off on all transactions between Rs. 400 & Rs. 4,000 (max waiver capped at Rs. 400 per month) | 2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500) | Nil","Unique color theme with shades of Indian Tricolor and a fourth dedicated embossing line. 8 EDGE REWARD Points on every spend of Rs. 200 with the card. A discount of 15% at partnered restaurants. Complimentary access to domestic lounges up to 2 times in a quarter. Waiver of renewal fee on annual spends of Rs. 40,000 in the previous year. 1% fuel surcharge reversed for transactions between Rs. 400 and Rs. 4,000 (max waiver of Rs. 400 in a month)","[""The annual charge can be waived if you spend at least ₹40,000 in the card anniversary year.""]","[""While many defense credit cards offer lower interest rates for military personnel, this one does not.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-pride-signature-credit-card/
Axis Bank Primus Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards"", ""Best Credit Cards With Taj Epicure Membership"", ""Top 10 Super Premium Credit Cards in India""]","₹5,00,000 + GST","₹3,00,000 + GST",N/A,,Reward Points,"Redeem EDGE Miles for Product Catalog, Vouchers, and Partner Miles. 1 EDGE Mile = 5 Partner Miles",,"Primus Cardholders’ spending shall be awarded quarterly. One of the most attractive aspects of the milestone benefits offered is that no MCCs are excluded from the calculation of the welcome benefit. This means that spends made on utilities, rental, and fuel shall all be considered. Milestone benefits shall be provided within 45 days from the end of the quarter. If someone spends ₹20 lakh in a quarter, they would earn 20,000 Base EDGE Miles and 15,000 bonus EDGE Miles, totaling 35,000 EDGE Miles. When these Edge Miles are converted to partner miles, cardholders shall receive 1.75 lakh Miles, resulting in an 8.75% return in partner miles.","{""domestic"": ""Unlimited Complimentary Domestic Lounge Access for Primary and Add-On Cardholders. 12 Free Guests Visits Each Year"", ""international"": ""Lounge Access- Unlimited Lounge Access for Primary and Add-On Cardholders With Priority Pass. 12 Complimentary Visits Each Year for Guests""}",,1% Per Month (12.68% Per Annum),Nil,"1% of Transaction Amount (Between ₹400 and ₹10,000) | Nil | Nil","This is a super premium credit card offering by Axis Bank. The Primus Card can be availed at a joining charge of ₹5,00,000 + GST (effectively costing ₹5,90,000). Cardholders shall earn 1 EDGE Mile/₹100 spent on all transactions, whether for rent, shopping, utility, insurance, fuel, or travel. This premium card provides complimentary memberships to Taj Epicure and Bloomberg.","[""Cardholders can earn 1 EDGE Mile for every ₹100 spent on all transactions. This allows them to earn rewards for expenses not traditionally rewarded by credit cards, such as insurance, rent, utility bills, and fuel. Cardholders can use this single card for all payments and expenses."", ""The Primus Card offers a favorable conversion ratio of 1:5 while transferring EDGE Miles to partner miles (1 EDGE Mile = 5 Partner Miles).""]","[""The Primus Card has a high joining fee of ₹5,90,000, including GST, and is only suitable for high-net-worth individuals. Additionally, this card has no spend-based annual fee waiver, so the annual charge will need to be paid."", ""For a card with such a high fee, you only expect the best, so it’s quite surprising that there aren’t any BOGO offers on movie tickets.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-primus-credit-card/
Axis Bank Privilege Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards""]","₹1,500 + GST","₹1,500 + GST",Waiver of Renewal Fee on Spends of ₹5 Lakh or More,,Reward Points,Redeem EDGE Points at 1 EDGE Point = ₹0.20 Against a Variety of Products and Vouchers,,"On spending ₹2.5 lakhs in a card anniversary year, the cardholder shall be eligible for 10,000 EDGE Reward Points worth Rs. 2,000. Transactions made on Utility & Telecom, Rent, Wallet, Government services, Insurance, Gold & Jewellery, Fuel, and Educational services will not count towards the spending threshold for Milestone benefits. Check complete details here .","{""domestic"": ""2 Free Visits Each Quarter on Spends of ₹50,000 or More in the Previous Three Months"", ""international"": ""N/A""}","You need to fulfill the requirements mentioned below in order to apply for this credit card: The applicant needs to be a resident of India. The primary applicant should be of the age between 18 years and 70 years, and the add-on cardholder should be a minimum of 18 years of age. The applicant’s annual income should be more than or equal to Rs. 6 lakhs per annum.",3.75% Per Month (55.55% Per Annum),3.5% + GST,"1% Waiver for Fuel Transactions Between ₹400 and ₹4,000. Maximum Waiver of ₹400 Each Statement Cycle | ₹500 or 2.5% of the Amount Withdrawn (Whichever is Higher) | Nil","You can earn up to 12,500 Edge Rewards as a welcome benefit. You get 10 EDGE Points on every ₹200 you spend. Up to a 25% discount on dining through the Axis Bank Dining Delights up to ₹800. Complimentary domestic lounge access every year. Spend-based renewal fee waiver. Insurance benefits are available across several categories. A 1% fuel surcharge waiver.","[""Those who choose the fee variant will need to pay a fee of ₹1,500 but will receive welcome benefits valued at ₹2,500, greatly benefiting the user and offsetting the charges.""]","[""This card does not offer any international lounge access.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-privilege-credit-card/
Axis Bank Reserve Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards""]","₹50,000 + GST","₹50,000 + GST",Renewal fee waived off on a minimum expenditure of Rs. 35 lacs in the preceding 12 months,,Reward Points,Transfer to Partner Airlines and Hotel Loyalty Programs,,,"{""domestic"": ""Unlimited domestic airport lounge access for both primary and add-on card holders"", ""international"": ""Unlimited international airport lounge access every year with Priority Pass membership.""}",,3% per month (or 42.58% annually),1.5% of the transaction amount,"1% fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 4,000 (max waiver capped at Rs. 400 per month) | Nil | Nil","15,000 bonus Edge Reward Points as a welcome benefit. 15 Edge Reward Points per ₹200 spent with the card. 2X Reward Points on all international spends. Lower mark-up fee of 1.5% of the transaction amount applicable on all foreign currency transactions. Unlimited domestic airport lounge access and international airport lounge access for both primary and add-on cardholders with complimentary Priority Pass membership, with 12 complimentary visits in a year for accompanying guests. Complimentary Club ITC Culinaire membership with multiple benefits at ITC hotels. Complimentary Accorplus membership with multiple benefits at Accor hotels across India. Complimentary Club Marriott Asia Pacific membership with exclusive benefits at participating Marriott hotels in India and Asia Pacific (on weekends only).","[""Being a premium credit card, you get over 50 complimentary golf rounds with this card."", ""Unlimited domestic and international lounge access with the Axis Bank Reserve Credit Card.""]","[""This card comes with a joining fee of Rs 50,000, which may not be affordable for everyone.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-reserve-credit-card/
Axis Bank Rewards Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards"", ""Best Credit Cards for Grocery Shopping in India""]","₹1,000 + GST","₹1,000 + GST",Renewal fee is waived off on spending Rs. 2 Lakhs or more in the card anniversary year,,Reward Points,"Reward Points Can be Redeemed for Vouchers, Products, and More. 1 EDGE Reward Point = ₹0.20","Get 5,000 Edge Reward Points on net spend of ₹1,000 or more within 30 days of getting the credit card. These Reward Points are worth ₹1,000 and are essentially worth the same value as the joining fee. Customers who swap their existing Axis Bank card for the Rewards credit card are not eligible for the welcome benefit.","Get 1,500 Edge Reward Points on spending over ₹30,000 every card statement cycle. EMI transactions, wallet, rent, and cash withdrawal transactions are not eligible for the milestone benefit. Customers who swap their existing Axis Bank card for the Rewards credit card are not eligible for the welcome benefit. Cardholders also get a renewal fee waiver on spending ₹2 Lakhs or more in the card anniversary year.","{""domestic"": ""2 Free Visits Each Quarter (On Spends of ₹50,000 or More in the Last Quarter)"", ""international"": ""N/A""}",Here are the eligibility criteria that an individual must pass before applying for the Rewards credit card – The applicant must be between 18 and 70 years old The applicant must have a stable income source The applicant must be an Indian resident,3.75% Per Month or 55.55% Per Annum,3.50%,"1% Waiver on Fuel Transactions Between ₹400 and ₹5,000. Maximum ₹400 Each Statement Cycle | 2.5% of the Amount Withdrawn or ₹500, Whichever is Higher | Nil",Welcome benefit of 5000 EDGE reward points 2 EDGE reward points on every send of Rs. 125 10x EDGE reward points on every spend of Rs. 125 on departmental and apparel stores Membership benefits worth Rs. 1000 per card anniversary year 30% off on Swiggy orders and 15% off at partner restaurants with the Dining Delights Program 2 complimentary domestic airport lounge access per quarter 1% fuel surcharge waiver with a maximum benefit of Rs. 400 every statement cycle 1 Lakh purchase protection cover and cover for loss of travel documents and baggage,"[""This card is best suited for avid shoppers as it provides 2 Edge Reward Points for every spend of ₹125."", ""You get 5,000 Edge Reward Points as a welcome point within 30 days of card issuance.""]","[""With the Axis Bank Rewards Credit Card, you won’t get access to international lounges at airports."", ""No golf benefits are provided with this card.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-rewards-credit-card/
Axis Bank SELECT Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards"", ""Best Credit Cards for Movie Tickets in India"", ""Best Golf Credit Cards in India""]","₹3,000 + GST","₹3,000 + GST",Renewal Fee Waived on Spends of ₹8 Lakh or More,,Reward Points,EDGE Points are Redeemable for Travel/Shopping Vouchers and More. 1 EDGE Point = ₹0.20,,"5,000 bonus EDGE Points on a minimum annual expenditure of ₹3 lakh. Complete annual fee waiver on spending ₹8 lakh in an anniversary year. Auto-renewal of the complimentary Priority Pass membership on a minimum annual expenditure of ₹3 lakh.","{""domestic"": ""2 Free Visits Each Quarter on Spends of ₹50,000 or More in the Previous 3 Months (Maximum 8 Each Year)"", ""international"": ""12 Complimentary Visits to International Lounges With Priority Pass""}",The following are the eligibility criteria that one needs to fulfill to get approved for the SELECT card by Axis Bank: The primary cardholder must be between 18 and & 70 years of age. Should be a resident of India. The net annual income of the applicant must be ₹6 lakhs or more.,3.75% Monthly (55.55% Annually),3.50%,"1% Waiver for Fuel Transactions Between ₹400 and ₹4,000. Maximum Waiver of ₹400 Each Statement Cycle | 2.5% or a Minimum of ₹500 | Nil","Earn 20 EDGE Points/₹200 on spends up to ₹20,000 cumulatively per month on the card and then earn 10 EDGE Points/₹200 spent after that. Flat ₹500 on a minimum purchase of ₹2,500 on the BigBasket mobile app and website. Get a flat discount of ₹200 on your Swiggy orders when you make a minimum transaction of ₹1,000. 12 complimentary accesses to international airport lounges annually with a Priority Pass membership. 2 complimentary domestic lounge visits (every quarter). Bonus EDGE Points on spending ₹3 lakh in an anniversary year. Renewal fee waiver on spending ₹8 lakh in an anniversary year. 6 complimentary golf rounds every year. Get 6 additional golf rounds on an annual expenditure of ₹3 lakh.","[""You get ₹200 off on Swiggy orders twice a month and even discounts on BigBasket."", ""Complimentary priority pass membership is also included with the Axis Bank Select Card.""]","[""No reward points are earned on fuel transactions."", ""This credit card has a high joining fee of ₹3,000 plus applicable taxes, and as a welcome benefit, this card only offers EDGE Reward Points worth ₹2,000.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-select-credit-card/
Axis Bank Shoppers Stop Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards""]",Nil (Limited Time Offer),₹500 + GST,₹500 is waived off when a cardholder spends ₹1 lakh or more in the previous year.,,Reward Points,The points are redeemable at the Shoppers Stop store (online/ offline) and Homestop,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","Certain conditions must be fulfilled to be eligible for the Axis Bank Shoppers Stop Credit Card. Must be a resident of India. Must be between 18-70 years of age. Must have a decent credit score. Must have a stable source of monthly income. To complete the application process, the applicant should also provide all the necessary documents, such as ID proof, address proof, and income proof.",3.75% Per Month (or 55% Annually),3.5% (plus tax) of the transaction value,1% fuel surcharge on fuel purchases at all fuel outlets in India | 2.5% (min ₹500) of the cash amount | N/A,"Complimentary ‘Shoppers Stop First Citizen Club Golden Glow’ membership for cardholders. First Citizen points will not expire. 1% fuel surcharge waiver on all fuel transactions between ₹400 and ₹5,000 with a maximum cap of ₹400 per waiver in the statement month. There is a 15% instant discount on EazyDiner up to ₹500 per month for a minimum transaction value of ₹2,500.","[""There is no redemption fee so customers can redeem points without paying any additional fees."", ""Renewal fee waiver on spending of ₹1 lakh or more in the previous year.""]","[""The card does not provide any airport lounge access."", ""The reward points are only limited to Shoppers Stop outlets (online/ offline).""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-shoppers-stop-credit-card/
Axis Bank Titanium Smart Traveler Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards""]",₹250 + GST,₹100 + GST,"Joining fee waived off on spending Rs. 2,500 or more within the first 45 days and the renewal fee is waived off on spending Rs. 50,000 or more in the preceding year.",,Reward Points,You can redeem the reward points accumulated on the Product Catalog of the Axis EDGE REWARDS portal. 1 Edge Reward = Re. 0.20.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The age of the applicant should be above 18 years. The applicant must be a resident of India. The applicant must have a valid source of income.,3.4% per month,3.5% on all foreign currency spends,"1% fuel surcharge waiver on all fuel transactions between Rs. 400 & Rs. 4,000. | 2.5% on withdrawal amount subject to minimum charge 0f Rs. 500 | Nil",2 EDGE REWARD Points on every spend of Rs. 200. Earn Up to 4x EDGE REWARD Points on spends of Rs. 200. 15% off on restaurant spends with exclusive partner restaurants in India. 1% fuel surcharge waiver on all fuel transactions across all fuel stations in India. Spend-based joining and annual fee waiver.,[],[],,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-titanium-smart-traveler-credit-card/
Axis Bank Vistara Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards"", ""Best Credit Cards To Earn Club Vistara Points India""]","Rs. 1,500 + GST","Rs. 1,500 + GST",None,,Air Miles,Club Vistara Points you earn can be redeemed easily by logging in to the Club Vistara official website,,"On achieving the required spend milestone, you can earn 1,000 bonus CV Points and up to 3 complimentary air tickets every year with your Axis Bank Vistara Credit Card. Refer to the following table for more understanding:","{""domestic"": ""2 complimentary domestic lounge access per quarter"", ""international"": ""None""}","Every credit card has different eligibility criteria that need to be fulfilled by the applicants in order to get approved for that card. The essential eligibility criteria that are required for the Axis Bank Vistara Credit Card are as follows: The applicant’s age should lie between 18 years and 70 years. The applicant should be a resident of India. The applicant should have a net annual income of Rs. 6,00,000 or more.",3.6% per month (52.86% annually),3.5% of the transaction amount,1% fuel surcharge is applicable | 2.5% of the amount withdrawn subject to a minimum of Rs. 500 | Nil,"An economy class ticket voucher as a welcome and renewal gift. Get 2 CV Points on every Rs. 200 you spend with your Axis Bank Vistara Credit Card. 25% off up to Rs. 800 at restaurants with Axis Bank EazyDiner Program. Complimentary airport lounge access. Bonus CV Points for spending Rs. 50,000 within 3 months. Up to 3 complimentary economy class ticket vouchers on achieving the milestone spend. Insurance coverage for loss of documents and delay or loss of check-in baggage. Zero liability protection against lost/stolen card. 1% fuel surcharge waiver.",[],[],,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-vistara-credit-card/
Axis Bank Vistara Infinite Credit Card,Axis Bank,Best Axis Bank,,"[""Best Axis Bank"", ""Best Axis Bank Credit Cards"", ""Best Credit Cards To Earn Club Vistara Points India"", ""Best Credit Cards in India Providing Club Vistara Membership""]","Rs. 10,000 + GST","Rs. 10,000 + GST",N/A,,Air Miles,"Club Vistara Points can be used for booking award flights, class upgrades, or seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.2)","As a welcome benefit, you get a complimentary Air Vistara business class ticket voucher. Not only that, you get this voucher every time your membership is renewed.",Get milestone benefits either as Club Vistara Points or as a complementary business class ticket along with the Axis Bank Vistara Infinite Credit Card:,"{""domestic"": ""2 Complimentary access to domestic lounges per quarter at select airports across India"", ""international"": ""NA""}",The eligibility criteria for the Vistara Infinite card has been explained below:,3.6% per month (or 52.86% per annum),3.5% (plus applicable taxes),"1% waiver on fuel surcharge for all fuel transactions between Rs. 400 & Rs. 4,000. | 2.5% of the transaction amount subject to a minimum charge of Rs. 500 | Nil","Complimentary Business Class ticket voucher as a welcome benefit. Business Class ticket voucher every time the membership is renewed. Complimentary Club Vistara Gold membership. 6 Club Vistara Points every time you spend Rs. 200. Additional Club Vistara Points and up to 4 Business Class tickets under the milestone benefits. Complimentary access to domestic lounges at select airports in India participating in the Visa Lounges program. Up to 40% discount up to Rs. 1000 at partner restaurants across India as a part of Axis Bank’s EazyDiner program. Purchase protection up to Rs. 1 lakh along with a cover of USD 3,00 in case of loss of travel documents and delay or loss of check-in luggage. 24×7 dedicated concierge service for travel, flight/hotel bookings, dining, shopping, etc.","[""You have the opportunity to play at stunning golf courses in India six times a year, completely free of charge."", ""Enjoy a complimentary business class ticket as a welcome benefit.""]","[""This card provides no international lounge access."", ""The number of domestic lounge access is also minimal to twice a year.""]",,cardinsider.com,https://cardinsider.com/axis-bank/axis-bank-vistara-infinite-credit-card/
