card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
CUB SRH (Rupay Platinum) credit card,City Union Bank,CUB,,"[""Experience""]",500,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹150 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 3 Reward Points per ₹150 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""UPI""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Departmental Stores""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Food delivery""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Apparel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 0, ""cycleType"": ""STATEMENT"", ""benefits"": ""1000 Reward Points"", ""milestoneType"": ""DAYS""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-srh-rupay-platinum
CUB CSK (Rupay Platinum) credit card,City Union Bank,CUB,,"[""Experience""]",500,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹150 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 3 Reward Points per ₹150 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""UPI""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Apparel""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Departmental Stores""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Food delivery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 5000, ""cycleType"": ""STATEMENT"", ""benefits"": ""1000 Reward Points"", ""milestoneType"": ""DAYS""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-csk-rupay-platinum
CUB SRH (Mastercard) credit card,City Union Bank,CUB,Mastercard,"[""Experience""]",1000,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹125 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹125 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 3 Reward Points per ₹125 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Dining""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Departmental Stores""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Food delivery""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""UPI""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Apparel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 20000, ""cycleType"": ""STATEMENT"", ""benefits"": ""Original SRH Fan Jersey"", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-srh-mastercard
CUB CSK (Mastercard Platinum) credit card,City Union Bank,CUB,,"[""Experience""]",1000,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹125 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹125 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 3 Reward Points per ₹125 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Food delivery""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Dining""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Apparel""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""Departmental Stores""}, {""child"": ""Earn 2 Reward Points per ₹125 spent"", ""name"": ""UPI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 20000, ""cycleType"": ""STATEMENT"", ""benefits"": ""Original CSK Fan Jersey"", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-csk-mastercard-platinum
CUB SRH (Mastercard World) credit card,City Union Bank,CUB,,"[""Experience""]",4000,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""International""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Travel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""Discount Vouchers worth ₹10,000Original SRH Jersey"", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-srh-mastercard-world
CUB CSK (Mastercard World) credit card,City Union Bank,CUB,,"[""Experience""]",4000,,,2% to 4%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Merchandise""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Ticket Purchases""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""International""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Travel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""Discount Vouchers worth ₹10,000Original DHONI NO.7  Jersey"", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/city-union-bank-csk-mastercard-world
Axis Magnus (Rupay) credit card,Axis Bank,Axis,Rupay,"[""Airline Transfer"", ""Travel Booking""]",12500,,,1.5% to 3%,"[{""child"": ""Earn 12 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 60 Reward Points per ₹200 spent"", ""name"": ""Travel Edge <= ₹L monthly""}, {""child"": ""Earn 35 Reward Points per ₹200 spent"", ""name"": ""Spends > ₹1.5L monthly""}, {""child"": ""Earn 35 Reward Points per ₹200 spent"", ""name"": ""Travel Edge > ₹2L monthly""}, {""child"": ""Earn 12 Reward Points per ₹200 spent"", ""name"": ""Education (Third-Party)""}, {""child"": ""Earn 12 Reward Points per ₹200 spent"", ""name"": ""Education""}, {""child"": ""Earn 12 Reward Points per ₹200 spent"", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Insurance""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent (> ₹50k monthly)""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 0, ""cycleType"": ""STATEMENT"", ""benefits"": ""Choose any voucher worth INR 12,500 from Luxe gift card or The Postcard Hotels gift voucher or Yatra gift voucher"", ""milestoneType"": ""DAYS""}, {""milestoneNumber"": 2, ""spent"": 2500000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]","[{""maintitle"": ""International lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""Unlimited through Priority Pass membership""]}, {""maintitle"": ""Domestic lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""Minimum eligible spend of ₹50,000 in the previous three calendar months.\nHowever, if your card has been newly issued, this spend requirement is waived for the month of issuance and the following three months.\nYou can easily check your eligible spends from your billed transactions over the past three calendar months through Axis Bank Net Banking or the Mobile Banking App.""]}, {""maintitle"": ""Guest lounge"", ""limit"": [""4 per year for international lounges via priority pass""], ""eligibility"": [""No explicit spend condition""]}]",,,,"[{""mainTitle"": ""EazyDiner"", ""child"": ""30% off up to INR 1000""}]","[""30% off up to INR 1000""]",,,,savesage.club,https://savesage.club/credit-card/axis-magnus-rupay
Axis Indian Oil Easy (FD) credit card,Axis Bank,Axis,,"[""Brand Wallet"", ""Cashback""]",500,,,3% to 5%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 20 Reward Points per ₹100 spent"", ""name"": ""IOCL""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Online""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel (Other than IOCL)""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Insurance""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 0, ""cycleType"": ""STATEMENT"", ""benefits"": ""1250 Edge RPs"", ""milestoneType"": ""DAYS""}, {""milestoneNumber"": 2, ""spent"": 350000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Amazon"", ""child"": ""Rs 500 Amazon Vouchers""}, {""mainTitle"": ""BookMyShow"", ""child"": ""10% off on All Movie Tickets""}, {""mainTitle"": ""EazyDiner"", ""child"": ""15% off via Dining Delights Program""}]","[""Rs 500 Amazon Vouchers"", ""10% off on All Movie Tickets"", ""15% off via Dining Delights Program""]",,,,savesage.club,https://savesage.club/credit-card/axis-indian-oil-easy-fd
Axis My Zone Easy (FD) credit card,Axis Bank,Axis,,"[""Catalogue Products"", ""Cashback"", ""Experience""]",500,,,1% to 5%,"[{""child"": ""Earn 4 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Insurance""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""UPI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Movies""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""EazyDiner"", ""child"": ""15% off via Dining Delights Program""}, {""mainTitle"": ""Swiggy"", ""child"": ""Rs 120 off on Swiggy""}]","[""15% off via Dining Delights Program"", ""Rs 120 off on Swiggy""]",,,,savesage.club,https://savesage.club/credit-card/axis-my-zone-easy-fd
Axis Platinum credit card,Axis Bank,Axis,,"[""Catalogue Products"", ""Experience""]",500,,,0.5% to 1%,"[{""child"": ""Earn 6 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 100 Reward Points per ₹200 spent"", ""name"": ""1st Txn""}, {""child"": ""Earn 25 Reward Points per ₹200 spent"", ""name"": ""Movies""}, {""child"": ""Earn 12 Reward Points per ₹200 spent"", ""name"": ""International""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""EazyDiner"", ""child"": ""EazyDiner""}]","[""EazyDiner""]",,,,savesage.club,https://savesage.club/credit-card/axis-platinum
